,Windkraftanlage_options,Bhkw_options,Pv_options,Waermepumpe_options,Gastherme_options,Waermebedarfssenkung_options,Vorlauf_temp_options,Wetter_typ,Netzbezug,Netzeinspeisung,Gasbezug,max_gas,max_p_el,Volllaststunden_bhkw,Cop,Stromproduktion,Stromverbrauch_hp
260,Ein,Aus,500 kWp,Sole/Wasser 200,Normal weiter,0%,65,zukunft Normal,1237057.0321576784,18582.76360840486,4104872.5212858594,1268.885,356.9074556184423,0.0,1.8380567920285646,514238.06588080054,29687.309430074092
261,Ein,Aus,500 kWp,Sole/Wasser 200,Normal weiter,0%,75,zukunft Normal,1237057.0321576784,6617.080385920751,4119221.374710795,1268.885,356.9074556184423,0.0,1.0,514238.06588080054,41652.992652558205
262,Ein,Aus,1.000 kWp,Sole/Wasser 200,Normal weiter,0%,55,zukunft Normal,1126636.6402754453,221872.89344752228,3776829.9839910977,1268.885,380.59283076847834,0.0,2.9506068109115624,916814.9407633385,118553.66259126132
263,Ein,Aus,1.000 kWp,Sole/Wasser 200,Normal weiter,0%,65,zukunft Normal,1075932.3035056135,197852.75965571438,3977385.8394375364,1268.885,350.26878918058975,0.0,1.8428863641002233,916814.9407633385,91869.45961323727
264,Ein,Aus,1.000 kWp,Sole/Wasser 200,Normal weiter,0%,75,zukunft Normal,1075932.3035056135,136639.3661360468,3995405.854539091,1268.885,350.26878918058975,0.0,1.000026833012999,916814.9407633385,153082.85313290491
265,Ein,Aus,1.500 kWp,Sole/Wasser 200,Normal weiter,0%,55,zukunft Normal,1046617.0628818945,515630.66892376164,3684635.524867679,1268.885,374.7639154847954,0.0,2.937026835723975,1319391.8156458766,147353.18460400944
266,Ein,Aus,1.500 kWp,Sole/Wasser 200,Normal weiter,0%,65,zukunft Normal,997588.3894474092,481617.3110017076,3893994.3929861933,1268.885,348.68770998209504,0.0,1.8464652474916692,1319391.8156458766,132337.86909157783
267,Ein,Aus,1.500 kWp,Sole/Wasser 200,Normal weiter,0%,75,zukunft Normal,997588.3894474092,375754.650404422,3900813.4348245156,1268.885,348.68770998209504,0.0,1.0000823208133616,1319391.8156458766,238200.52968886355
268,Aus,Aus,25 kWp,Sole/Wasser 200,Normal weiter,0%,55,zukunft Normal,1721935.608751562,0.0,3987220.275572545,1268.885,419.1365989950744,0.0,3.0447959747003264,33787.194099637694,52697.777851199746
269,Aus,Aus,25 kWp,Sole/Wasser 200,Normal weiter,0%,65,zukunft Normal,1669237.8309003622,0.0,4165502.4776580827,1268.885,383.2693300024279,0.0,,33787.194099637694,0.0
