"Time","Gesamtverbrauch der Hochschule in kW","Netzbezug der Hochschule in kW"
1622281500000,173.96652793333334,56.130396200000014
1622282400000,174.6210538,56.96026739999999
1622283300000,177.85249519999996,60.27315093333334
1622284200000,172.2507602,55.19772186666667
1622285100000,170.8840158666667,55.133813333333336
1622286000000,171.25456126666668,54.475346866666655
1622286900000,170.98223233333334,52.127539066666664
1622287800000,172.16838321428574,55.713060999999996
1622288700000,171.6472026,52.35654600000001
1622289600000,165.93716006666668,47.81521286666666
1622290500000,166.49011293333334,44.70354566666666
1622291400000,166.69491693333333,41.3150124
1622292300000,172.0534678,47.73798466666666
1622293200000,160.7764961333333,35.45841299999999
1622294100000,161.89122779999997,34.75796993333334
1622295000000,161.12629139999999,38.3866514
1622295900000,159.91970980000002,35.27941366666667
1622296800000,159.86219246666667,40.83382626666667
1622297700000,160.69156139999996,30.136675333333336
1622298600000,158.52131093333335,33.372757866666674
1622299500000,162.90989913333337,41.50298546666668
1622300400000,162.00778453333334,37.62672966666666
1622301300000,155.49329866666667,29.95365333333334
1622302200000,159.98975019999997,35.198856
1622303100000,161.6007625333333,52.58573753333334
1622304000000,162.63909859999998,56.0814806
1622304900000,156.57094373333334,50.16251986666667
1622305800000,158.09093439999998,53.1291494
1622306700000,157.1977852,52.190756533333335
1622307600000,159.47888759999995,53.9578594
1622308500000,158.86434233333335,52.00083693333332
1622309400000,159.44540533333333,55.0265136
1622310300000,156.32579800000002,51.33550466666667
1622311200000,156.76451566666668,53.57131846666667
1622312100000,153.33371086666665,50.94764313333333
1622313000000,155.72468173333334,53.35561193333333
1622313900000,152.76440166666669,49.73161033333333
1622314800000,159.30260966666665,57.253252333333336
1622315700000,156.86603933333333,55.21570900000001
1622316600000,161.9783512142857,59.901904571428574
1622317500000,156.20920433333333,54.34237366666667
1622318400000,162.88301433333336,61.423328333333345
1622319300000,159.90849146666662,58.07399873333334
1622320200000,158.84000406666664,56.86486193333334
1622321100000,159.77690760000004,57.664825666666665
1622322000000,161.6575649333333,60.15682453333333
1622322900000,155.9322463333333,53.90503346666666
1622323800000,159.9884792,58.55143053333333
1622324700000,156.63213666666664,55.288769599999995
